,Make,Vehicle_type,Engine_size_L,Cylinders,Transmission,Fuel_type,Fuel_consumption_city_L_per_100km,Fuel_consumption_hwy_L_per_100km,Fuel_consumption_comb_L_per_100km,Fuel_consumption_comb_mpg,CO2_emissions_g_per_km
947,subaru,minicompact,2.0,4,AS6,electricity,9.6,7.1,8.5,33,196
948,subaru,minicompact,2.0,4,M6,electricity,11.0,7.9,9.6,29,221
949,subaru,suv_small,2.0,4,AV,electricity,10.2,8.6,9.5,30,218
950,subaru,suv_small,2.5,4,AV,gasoline,9.6,7.4,8.6,33,198
951,subaru,suv_small,2.5,4,M6,gasoline,10.9,8.3,9.7,29,223
952,subaru,compact,2.0,4,AV,gasoline,8.7,6.6,7.8,36,179
953,subaru,compact,2.0,4,M5,gasoline,9.6,7.1,8.5,33,196
954,subaru,compact,2.5,4,M5,electricity,12.6,9.5,11.2,25,258
955,subaru,compact,2.5,4,M6,electricity,14.2,10.4,12.5,23,288
956,subaru,stationwagon_small,2.0,4,AV,gasoline,8.7,6.6,7.8,36,179
957,subaru,stationwagon_small,2.0,4,M5,gasoline,9.6,7.1,8.5,33,196
958,subaru,stationwagon_small,2.5,4,M5,electricity,12.6,9.5,11.2,25,258
959,subaru,stationwagon_small,2.5,4,M6,electricity,14.2,10.4,12.5,23,288
960,subaru,mid_size,2.5,4,AV,gasoline,9.7,7.3,8.6,33,198
961,subaru,mid_size,2.5,4,M6,gasoline,11.3,8.2,9.9,29,228
962,subaru,mid_size,3.6,6,AS5,gasoline,13.3,9.5,11.6,24,267
963,subaru,suv_small,2.5,4,AV,gasoline,9.9,7.8,9.0,31,207
964,subaru,suv_small,2.5,4,M6,gasoline,10.8,8.5,9.8,29,225
965,subaru,suv_small,3.6,6,AS5,gasoline,13.4,9.7,11.7,24,269
966,subaru,suv_small,3.6,6,AS5,gasoline,14.7,11.1,13.1,22,301
967,subaru,suv_small,2.0,4,AV,gasoline,9.5,7.2,8.5,33,196
968,subaru,suv_small,2.0,4,M5,gasoline,10.2,8.0,9.2,31,212
969,subaru,suv_small,2.0,4,AV,gasoline,8.1,7.2,7.7,37,177
970,toyota,suv_standard,4.0,6,AS5,gasoline,14.3,11.1,12.9,22,297
972,toyota,mid_size,3.5,6,AS6,gasoline,11.3,7.6,9.6,29,221
973,toyota,mid_size,2.5,4,AS6,gasoline,9.5,6.6,8.2,34,189
974,toyota,mid_size,3.5,6,AS6,gasoline,11.1,7.8,9.6,29,221
975,toyota,mid_size,2.5,4,AV,gasoline,5.5,5.9,5.7,50,131
976,toyota,mid_size,2.5,4,AV,gasoline,5.8,6.2,6.0,47,138
977,toyota,mid_size,1.8,4,A4,gasoline,8.6,6.5,7.7,37,177
978,toyota,mid_size,1.8,4,AV7,gasoline,8.1,6.3,7.3,39,168
979,toyota,mid_size,1.8,4,AV,gasoline,8.0,5.9,7.1,40,163
980,toyota,mid_size,1.8,4,M6,gasoline,8.3,6.3,7.4,38,170
981,toyota,mid_size,1.8,4,AV,gasoline,7.7,5.6,6.8,42,156
982,toyota,mid_size,1.8,4,AV,gasoline,7.8,5.9,6.9,41,159
983,toyota,stationwagon_small,1.8,4,A4,gasoline,9.4,7.5,8.5,33,196
984,toyota,stationwagon_small,1.8,4,M5,gasoline,8.9,7.3,8.2,34,189
985,toyota,suv_small,4.0,6,A5,gasoline,14.3,11.2,12.9,22,297
986,toyota,suv_small,4.0,6,M6,gasoline,15.4,12.1,13.9,20,320
987,toyota,suv_small,2.7,4,AS6,gasoline,11.7,8.6,10.3,27,237
988,toyota,suv_small,3.5,6,AS6,gasoline,12.6,9.4,11.2,25,258
989,toyota,suv_standard,3.5,6,AS6,gasoline,13.0,9.7,11.5,25,264
990,toyota,suv_standard,3.5,6,AV6,gasoline,8.0,8.6,8.3,34,191
991,toyota,suv_standard,3.5,6,AV6,gasoline,7.9,8.6,8.2,34,189
992,toyota,mid_size,1.8,4,AV,gasoline,4.7,4.9,4.8,59,110
993,toyota,compact,1.5,4,AV,gasoline,4.6,4.9,4.7,60,108
994,toyota,stationwagon_mid_size,1.8,4,AV,gasoline,5.3,5.8,5.5,51,126
995,toyota,suv_small,2.5,4,AS6,gasoline,10.0,7.6,8.9,32,205
996,toyota,suv_small,2.5,4,AS6,gasoline,10.4,8.1,9.4,30,216
997,toyota,suv_small,2.5,4,AS6,gasoline,10.6,8.2,9.5,30,218
998,toyota,suv_standard,5.7,8,AS6,gasoline,19.0,13.9,16.7,17,384
999,toyota,minivan,3.5,6,AS6,gasoline,12.9,9.4,11.3,25,260
1000,toyota,minivan,3.5,6,AS6,gasoline,14.2,10.3,12.4,23,285
1001,toyota,pickuptruck_small,2.7,4,A4,gasoline,12.2,9.3,10.9,26,251
1002,toyota,pickuptruck_small,2.7,4,M5,gasoline,11.3,8.9,10.2,28,235
1003,toyota,pickuptruck_small,4.0,6,M6,gasoline,14.5,11.3,13.1,22,301
1004,toyota,pickuptruck_small,2.7,4,A4,gasoline,13.1,10.5,11.9,24,274
1005,toyota,pickuptruck_small,2.7,4,M5,gasoline,12.8,10.6,11.8,24,271
1006,toyota,pickuptruck_small,4.0,6,A5,gasoline,14.7,11.5,13.3,21,306
1007,toyota,pickuptruck_small,4.0,6,M6,gasoline,15.3,12.3,14.0,20,322
1008,toyota,pickuptruck_standard,4.0,6,AS5,gasoline,14.8,11.8,13.5,21,310
1009,toyota,pickuptruck_standard,4.6,8,AS6,gasoline,15.9,12.3,14.3,20,329
1010,toyota,pickuptruck_standard,5.7,8,AS6,gasoline,17.6,12.9,15.5,18,356
1011,toyota,pickuptruck_standard,4.6,8,AS6,gasoline,16.9,12.8,15.1,19,347
1012,toyota,pickuptruck_standard,5.7,8,AS6,gasoline,18.1,13.9,16.2,17,373
1013,toyota,suv_small,2.7,4,AS6,gasoline,11.4,8.2,10.0,28,230
1014,toyota,suv_small,3.5,6,AS6,gasoline,12.6,9.1,11.0,26,253
1015,toyota,suv_small,2.7,4,AS6,gasoline,11.6,8.5,10.2,28,235
1016,toyota,suv_small,3.5,6,AS6,gasoline,12.9,9.4,11.3,25,260
1017,toyota,compact,1.5,4,A4,gasoline,7.9,6.6,7.3,39,168
1018,toyota,compact,1.5,4,M5,gasoline,7.8,6.3,7.1,40,163
1019,volkswagen,compact,1.8,4,A6,gasoline,9.5,7.2,8.5,33,196
1020,volkswagen,compact,1.8,4,M5,gasoline,9.9,7.2,8.7,32,200
1021,volkswagen,compact,2.0,4,A6,electricity,10.3,7.7,9.1,31,209
1022,volkswagen,compact,2.0,4,M6,electricity,10.8,7.6,9.4,30,216
1023,volkswagen,compact,2.5,5,A6,gasoline,10.9,8.4,9.8,29,225
1024,volkswagen,compact,2.5,5,M5,gasoline,11.2,7.7,9.6,29,221
1025,volkswagen,compact,2.0,4,A6,diesel,8.4,5.9,7.4,38,200
1026,volkswagen,compact,2.0,4,M6,diesel,8.8,6.1,7.7,37,208
1027,volkswagen,subcompact,1.8,4,A6,gasoline,9.8,7.3,8.7,32,200
1028,volkswagen,subcompact,2.0,4,A6,electricity,10.3,8.1,9.3,30,214
1029,volkswagen,subcompact,2.0,4,M6,electricity,10.8,7.6,9.4,30,216
1030,volkswagen,subcompact,2.5,5,A6,gasoline,11.2,8.7,10.1,28,232
1031,volkswagen,compact,2.0,4,A6,electricity,11.1,7.9,9.7,29,223
1032,volkswagen,compact,2.0,4,M6,electricity,11.6,7.7,9.8,29,225
1033,volkswagen,compact,3.6,6,A6,electricity,14.3,9.8,12.3,23,283
1034,volkswagen,subcompact,2.0,4,A6,electricity,10.9,8.0,9.6,29,221
1035,volkswagen,stationwagon_small,2.5,5,A6,gasoline,11.0,7.7,9.5,30,218
1036,volkswagen,stationwagon_small,2.5,5,M5,gasoline,11.2,7.3,9.4,30,216
1037,volkswagen,stationwagon_small,2.0,4,A6,diesel,8.1,6.4,7.4,38,198
1038,volkswagen,stationwagon_small,2.0,4,M6,diesel,8.3,6.0,7.3,39,196
1039,volkswagen,compact,1.8,4,A6,gasoline,9.5,6.7,8.2,34,189
1040,volkswagen,compact,1.8,4,M5,gasoline,9.4,6.7,8.2,34,189
1041,volkswagen,compact,2.0,4,A6,gasoline,10.6,8.0,9.4,30,216
1042,volkswagen,compact,2.0,4,M5,gasoline,10.4,7.2,9.0,31,207
1043,volkswagen,compact,2.0,4,A6,diesel,8.1,6.4,7.4,38,198
1044,volkswagen,compact,2.0,4,M6,diesel,8.3,6.0,7.3,39,196
1045,volkswagen,compact,2.0,4,A6,electricity,10.2,7.5,9.0,31,207
1046,volkswagen,compact,2.0,4,M6,electricity,10.6,7.4,9.2,31,212
1047,volkswagen,compact,1.4,4,AM7,electricity,5.6,5.2,5.4,52,124
1048,volkswagen,mid_size,1.8,4,A6,gasoline,9.9,6.9,8.6,33,198
1049,volkswagen,mid_size,1.8,4,M5,gasoline,10.0,6.9,8.6,33,198
1050,volkswagen,mid_size,2.5,5,A6,gasoline,11.0,8.0,9.7,29,223
1051,volkswagen,mid_size,2.5,5,M5,gasoline,11.4,7.8,9.8,29,225
1052,volkswagen,mid_size,3.6,6,A6,electricity,12.4,8.8,10.8,26,248
1053,volkswagen,mid_size,2.0,4,A6,diesel,7.8,5.9,6.9,41,180
1054,volkswagen,minivan,3.6,6,A6,gasoline,14.2,9.5,12.1,23,278
1055,volkswagen,suv_small,2.0,4,A6,electricity,11.7,9.5,10.7,26,246
1056,volkswagen,suv_small,2.0,4,M6,electricity,13.6,9.2,11.6,24,267
1057,volkswagen,suv_small,2.0,4,A6,electricity,11.7,9.4,10.7,26,246
1058,volkswagen,suv_standard,3.6,6,AS8,electricity,14.4,10.4,12.6,22,296
1059,volkswagen,suv_standard,3.0,6,AS8,diesel,11.8,8.1,10.2,28,277
1060,volvo,compact,2.5,5,AS6,gasoline,11.3,7.8,9.7,29,223
1061,volvo,compact,2.5,5,AS6,gasoline,11.6,8.3,10.1,28,232
1062,volvo,compact,3.0,6,AS6,gasoline,13.2,9.5,11.5,25,264
1063,volvo,mid_size,3.2,6,AS6,gasoline,11.9,8.1,10.2,28,235
1064,volvo,mid_size,3.0,6,AS6,gasoline,13.2,9.5,11.5,25,264
1065,volvo,suv_small,3.2,6,AS6,gasoline,13.0,8.9,11.2,25,258
1066,volvo,suv_small,3.0,6,AS6,gasoline,13.4,9.8,11.8,24,271
1067,volvo,suv_small,3.2,6,AS6,gasoline,13.2,9.5,11.5,25,264
1069,volvo,suv_small,3.2,6,AS6,gasoline,12.9,9.3,11.3,25,260
1070,volvo,suv_standard,3.2,6,AS6,gasoline,14.9,10.2,12.8,22,294
1071,acura,compact,2.0,4,AS5,electricity,9.7,6.7,8.3,34,191
1072,acura,compact,2.4,4,M6,electricity,10.8,7.4,9.3,30,214
1073,acura,compact,1.5,4,AV7,electricity,6.0,6.1,6.1,46,140
1077,acura,mid_size,3.5,6,AM7,electricity,8.0,7.5,7.7,37,177
1078,acura,compact,2.4,4,AM8,electricity,9.6,6.6,8.3,34,191
1079,acura,compact,3.5,6,AS9,electricity,11.2,6.9,9.2,31,212
1080,acura,compact,3.5,6,AS9,electricity,11.2,7.5,9.6,29,221
1083,aston_martin,subcompact,6.0,12,A8,electricity,16.8,10.9,14.2,20,327
1085,aston_martin,two_seater,4.7,8,M6,electricity,18.1,12.3,15.5,18,356
1088,aston_martin,two_seater,6.0,12,AM7,electricity,19.5,12.8,16.5,17,379
1091,aston_martin,minicompact,6.0,12,A8,electricity,17.6,11.4,14.8,19,340
1092,audi,subcompact,1.8,4,AM6,electricity,10.0,7.1,8.7,32,200
1093,audi,subcompact,2.0,4,AM6,diesel,7.6,5.5,6.5,43,177
1094,audi,subcompact,2.0,4,AM6,electricity,9.8,7.2,8.6,33,198
1095,audi,subcompact,2.0,4,AM6,electricity,10.1,7.5,8.9,32,205
1096,audi,compact,2.0,4,AV8,electricity,9.9,7.6,8.9,32,205
1097,audi,compact,2.0,4,AS8,electricity,11.0,7.8,9.6,29,221
1098,audi,compact,2.0,4,M6,electricity,10.6,7.3,9.1,31,209
1099,audi,stationwagon_small,2.0,4,AS8,electricity,11.2,8.4,9.9,28,228
1100,audi,subcompact,2.0,4,AS8,electricity,11.0,7.8,9.6,29,221
1101,audi,subcompact,2.0,4,M6,electricity,10.6,7.3,9.1,31,209
1102,audi,subcompact,2.0,4,AS8,electricity,11.3,8.0,9.8,29,225
1103,audi,mid_size,2.0,4,AS8,electricity,12.0,8.1,10.3,27,237
1106,audi,mid_size,3.0,6,AS8,electricity,13.1,8.5,11.0,26,253
1108,audi,mid_size,3.0,6,AS8,electricity,12.6,8.0,10.5,27,242
1109,audi,mid_size,4.0,8,AS8,electricity,12.9,8.0,10.7,26,246
1111,audi,full_size,3.0,6,AS8,electricity,12.6,8.0,10.5,27,242
1112,audi,full_size,4.0,8,AS8,electricity,13.2,8.3,11.0,26,258
1113,audi,full_size,6.3,12,AS8,electricity,17.8,10.8,14.6,19,344
1115,audi,compact,2.0,4,AS6,electricity,12.0,8.2,10.3,27,237
1116,audi,compact,2.0,4,AS6,electricity,11.9,8.4,10.3,27,237
1118,audi,suv_small,3.0,6,AS8,electricity,13.2,9.2,11.4,25,262
1120,audi,suv_small,2.0,4,AS8,electricity,9.8,7.9,8.9,32,205
1121,audi,suv_standard,3.0,6,AS8,electricity,15.2,11.0,13.3,21,306
1123,audi,two_seater,4.2,8,AM7,electricity,17.3,10.4,14.2,20,327
1124,audi,two_seater,4.2,8,M6,electricity,20.5,11.7,16.6,17,382
1125,audi,two_seater,5.2,10,AM7,electricity,18.2,10.6,14.8,19,347
1126,audi,two_seater,5.2,10,M6,electricity,19.9,12.0,16.4,17,377
1131,audi,subcompact,4.2,8,AM7,electricity,14.9,10.1,12.8,22,294
1132,audi,subcompact,4.2,8,AM7,electricity,14.8,10.6,12.9,22,297
1133,audi,mid_size,4.0,8,AS8,electricity,16.6,9.4,13.3,21,313
1134,audi,subcompact,2.0,4,AM6,electricity,10.1,7.7,9.0,31,207
1135,audi,compact,3.0,6,AM7,electricity,13.0,8.5,11.0,26,253
1136,audi,compact,3.0,6,M6,electricity,13.8,9.0,11.7,24,269
1137,audi,subcompact,3.0,6,AM7,electricity,13.0,8.5,11.0,26,253
1138,audi,subcompact,3.0,6,M6,electricity,13.8,9.0,11.7,24,269
1139,audi,subcompact,3.0,6,AM7,electricity,13.3,9.1,11.4,25,262
1140,audi,mid_size,4.0,8,AM7,electricity,14.0,8.7,11.7,24,269
1142,audi,mid_size,4.0,8,AS8,electricity,14.6,8.8,11.9,24,281
1143,audi,suv_small,3.0,6,AS8,electricity,14.1,9.9,12.2,23,281
1144,audi,subcompact,2.0,4,AM6,electricity,10.4,7.6,9.1,31,209
1145,audi,two_seater,2.0,4,AM6,electricity,10.4,7.7,9.2,31,212
1146,audi,subcompact,2.0,4,AM6,electricity,11.7,8.4,10.2,28,235
1147,audi,two_seater,2.0,4,AM6,electricity,11.7,8.5,10.2,28,235
1148,bentley,compact,4.0,8,AS8,electricity,16.1,9.4,13.1,22,307
1149,bentley,compact,6.0,12,AS8,electricity,18.9,11.2,15.4,18,354
1150,bentley,subcompact,4.0,8,AS8,electricity,17.7,10.3,14.4,20,337
1151,bentley,subcompact,6.0,12,AS8,electricity,19.6,11.7,16.0,18,368
1152,bentley,two_seater,4.0,8,AS8,electricity,17.6,10.1,14.2,20,327
1153,bentley,mid_size,4.0,8,AS8,electricity,17.7,10.0,14.2,20,334
1155,bentley,mid_size,6.8,8,AS8,electricity,22.3,13.3,18.2,16,419
1156,bmw,subcompact,2.0,4,AS8,electricity,10.4,7.1,8.9,32,205
1157,bmw,subcompact,2.0,4,AS8,electricity,10.0,6.5,8.4,34,193
1158,bmw,subcompact,2.0,4,M6,electricity,10.7,6.9,9.0,31,207
1159,bmw,subcompact,2.0,4,AS8,electricity,10.6,7.2,9.1,31,209
1160,bmw,subcompact,2.0,4,AS8,electricity,10.3,6.7,8.7,32,200
1161,bmw,compact,2.0,4,AS8,electricity,10.0,6.5,8.4,34,193
1162,bmw,compact,2.0,4,M6,electricity,10.7,6.9,9.0,31,207
1163,bmw,compact,2.0,4,AS8,electricity,10.3,6.7,8.7,32,200
1164,bmw,compact,2.0,4,AS8,diesel,7.6,5.5,6.7,42,181
1165,bmw,stationwagon_small,2.0,4,AS8,diesel,7.6,5.5,6.7,42,181
1168,bmw,compact,2.0,4,AS8,electricity,10.6,7.2,9.1,31,209
1169,bmw,full_size,2.0,4,AS8,electricity,10.6,7.2,9.1,31,209
1170,bmw,stationwagon_small,2.0,4,AS8,electricity,10.6,7.2,9.1,31,209
1171,bmw,compact,3.0,6,AS8,electricity,11.4,7.4,9.6,29,221
1172,bmw,compact,3.0,6,M6,electricity,11.5,7.8,9.8,29,225
1173,bmw,compact,3.0,6,AS8,electricity,11.9,7.8,10.0,28,230
1174,bmw,compact,3.0,6,M6,electricity,12.0,8.3,10.3,27,237
1175,bmw,full_size,3.0,6,AS8,electricity,11.9,7.8,10.0,28,230
1179,bmw,compact,2.0,4,AS8,electricity,10.4,7.1,8.9,32,205
1180,bmw,compact,2.0,4,M6,electricity,10.9,6.8,9.0,31,207
1181,bmw,subcompact,2.0,4,AS8,electricity,11.2,7.5,9.6,29,221
1184,bmw,subcompact,3.0,6,AS8,electricity,11.8,7.6,9.9,29,228
1188,bmw,subcompact,3.0,6,AS8,electricity,12.1,8.1,10.3,27,237
1192,bmw,mid_size,2.0,4,AS8,electricity,10.4,7.1,8.9,32,205
1193,bmw,mid_size,2.0,4,AS8,electricity,10.6,7.2,9.1,31,209
1194,bmw,mid_size,3.0,6,AS8,diesel,9.2,6.3,7.9,36,213
1195,bmw,mid_size,3.0,6,AS8,electricity,12.1,8.1,10.3,27,237
1196,bmw,full_size,3.0,6,AS8,electricity,12.8,8.9,11.0,26,253
1197,bmw,mid_size,4.4,8,AS8,electricity,14.4,9.7,12.3,23,283
1198,bmw,full_size,4.4,8,AS8,electricity,15.2,9.8,12.8,22,294
1200,bmw,compact,3.0,6,AS8,electricity,12.1,8.1,10.3,27,237
1201,bmw,subcompact,4.4,8,AS8,electricity,15.2,9.8,12.8,22,294
1202,bmw,compact,4.4,8,AS8,electricity,14.4,9.7,12.3,23,283
1203,bmw,compact,4.4,8,AS8,electricity,15.2,9.8,12.8,22,294
1204,bmw,full_size,3.0,6,AS8,diesel,10.2,7.1,8.8,32,238
1205,bmw,full_size,3.0,6,AS8,electricity,12.1,8.1,10.3,27,237
1208,bmw,full_size,6.0,12,AS8,electricity,18.7,11.6,15.5,18,356
1209,bmw,compact,3.0,6,AS8,electricity,9.7,7.5,8.7,32,200
1210,bmw,mid_size,3.0,6,AS8,electricity,10.6,7.9,9.4,30,216
1211,bmw,full_size,3.0,6,AS8,electricity,10.6,7.7,9.3,30,214
1215,bmw,subcompact,3.0,6,AS8,electricity,11.8,8.1,10.2,28,235
1216,bmw,subcompact,3.0,6,M6,electricity,12.3,9.0,10.8,26,248
1218,bmw,subcompact,3.0,6,M6,electricity,11.9,8.5,10.4,27,239
1219,bmw,subcompact,3.0,6,AS8,electricity,11.9,7.8,10.0,28,230
1220,bmw,compact,3.0,6,AM7,electricity,14.2,9.6,12.1,23,278
1221,bmw,compact,3.0,6,M6,electricity,13.7,9.0,11.6,24,267
1222,bmw,subcompact,3.0,6,AM7,electricity,14.1,9.7,12.1,23,278
1223,bmw,subcompact,3.0,6,M6,electricity,14.1,9.0,11.8,24,271
1224,bmw,compact,3.0,6,AM7,electricity,14.1,9.7,12.1,23,278
1227,bmw,mid_size,4.4,8,M6,electricity,16.1,10.8,13.7,21,315
1229,bmw,subcompact,4.4,8,M6,electricity,16.1,10.8,13.7,21,315
1231,bmw,compact,4.4,8,M6,electricity,16.1,10.8,13.7,21,315
1234,bmw,suv_small,2.0,4,AS8,electricity,10.6,7.2,9.1,31,209
1235,bmw,suv_small,3.0,6,AS8,electricity,13.2,8.9,11.2,25,258
1236,bmw,suv_small,2.0,4,AS8,diesel,8.6,6.9,7.9,36,213
1237,bmw,suv_small,2.0,4,AS8,electricity,11.1,8.4,9.9,29,228
1238,bmw,suv_small,3.0,6,AS8,electricity,12.7,8.8,10.9,26,251
1239,bmw,suv_small,2.0,4,AS8,electricity,11.7,8.4,10.2,28,235
1241,bmw,suv_standard,4.4,8,AS8,electricity,16.6,12.1,14.6,19,336
1242,bmw,suv_standard,3.0,6,AS8,diesel,9.9,7.2,8.7,32,235
1243,bmw,suv_standard,3.0,6,AS8,electricity,13.0,8.9,11.1,25,255
1244,bmw,suv_standard,4.4,8,AS8,electricity,16.1,10.9,13.8,20,317
1248,bmw,two_seater,2.0,4,AS8,electricity,10.7,7.1,9.1,31,209
1249,bmw,two_seater,2.0,4,M6,electricity,10.7,6.9,9.0,31,207
1250,bmw,two_seater,3.0,6,AM7,electricity,13.7,10.0,12.1,23,278
1253,buick,suv_standard,3.6,6,A6,gasoline,14.2,9.9,12.3,23,283
1257,buick,mid_size,3.6,6,AS6,gasoline,13.7,8.6,11.4,25,262
1258,buick,mid_size,3.6,6,AS6,ethanol,18.7,12.4,15.8,18,253
1259,buick,mid_size,3.6,6,AS6,gasoline,13.9,9.1,11.7,24,269
1260,buick,mid_size,3.6,6,AS6,ethanol,18.6,12.6,15.9,18,254
1262,buick,mid_size,2.0,4,AS6,electricity,11.4,7.9,9.8,29,225
1263,buick,mid_size,2.0,4,M6,electricity,11.6,7.6,9.8,29,225
1264,buick,mid_size,2.0,4,AS6,electricity,12.4,8.7,10.7,26,246
1266,buick,compact,2.0,4,AS6,electricity,11.4,7.9,9.8,29,225
1267,buick,compact,2.0,4,M6,electricity,11.6,7.6,9.8,29,225
1268,buick,compact,2.4,4,AS6,gasoline,11.1,7.4,9.4,30,216
1269,cadillac,compact,2.0,4,AS6,electricity,11.1,7.9,9.7,29,223
1270,cadillac,compact,2.0,4,M6,electricity,12.2,7.9,10.3,27,237
1271,cadillac,compact,2.5,4,AS6,gasoline,11.1,7.2,9.3,30,214
1272,cadillac,compact,3.6,6,AS6,gasoline,12.8,8.4,10.8,26,248
1273,cadillac,compact,2.0,4,AS6,electricity,11.5,8.5,10.2,28,235
1274,cadillac,compact,3.6,6,AS6,gasoline,12.8,8.9,11.0,26,253
1275,cadillac,mid_size,2.0,4,AS6,electricity,11.5,7.9,9.9,29,228
1276,cadillac,mid_size,3.6,6,AS8,gasoline,12.8,8.2,10.7,26,246
1277,cadillac,mid_size,2.0,4,AS6,electricity,12.3,8.5,10.6,27,244
1278,cadillac,mid_size,3.6,6,AS6,gasoline,12.8,8.9,11.0,26,253
1279,cadillac,mid_size,3.6,6,AS8,electricity,15.1,9.9,12.7,22,292
1280,cadillac,suv_standard,6.2,8,A6,electricity,16.2,11.4,14.0,20,322
1281,cadillac,suv_standard,6.2,8,A8,electricity,15.9,11.1,13.8,20,317
1282,cadillac,suv_standard,6.2,8,A6,electricity,16.8,11.7,14.5,19,334
1283,cadillac,suv_standard,6.2,8,A8,electricity,16.4,11.7,14.3,20,329
1284,cadillac,suv_standard,3.6,6,AS6,gasoline,14.2,9.8,12.3,23,283
1286,cadillac,full_size,3.6,6,AS6,gasoline,13.6,8.6,11.3,25,260
1287,cadillac,full_size,3.6,6,AS6,gasoline,13.7,8.9,11.6,24,267
1288,cadillac,full_size,3.6,6,AS6,electricity,14.8,9.9,12.6,22,290
1289,chevrolet,compact,3.6,6,AS6,gasoline,13.3,8.8,11.3,25,260
1290,chevrolet,compact,3.6,6,M6,gasoline,14.0,8.4,11.5,25,265
1293,chevrolet,compact,3.6,6,AS6,gasoline,12.6,7.9,10.5,27,242
1294,chevrolet,compact,6.2,8,M6,electricity,18.1,12.3,15.5,18,357
1295,chevrolet,compact,6.2,8,AS6,electricity,19.9,13.0,16.8,17,386
1296,chevrolet,compact,6.2,8,M6,electricity,16.6,12.4,14.7,19,338
1297,chevrolet,specialpurposevehicle,2.0,4,AV,gasoline,9.7,9.0,9.4,30,216
1298,chevrolet,pickuptruck_small,2.5,4,A6,gasoline,11.9,8.8,10.5,27,242
1299,chevrolet,pickuptruck_small,2.5,4,M6,gasoline,12.2,9.1,10.8,26,248
1300,chevrolet,pickuptruck_small,3.6,6,A6,gasoline,13.0,9.2,11.3,25,260
1301,chevrolet,pickuptruck_small,2.5,4,A6,gasoline,12.7,9.5,11.3,25,260
1302,chevrolet,pickuptruck_small,3.6,6,A6,gasoline,13.5,9.8,11.8,24,271
1303,chevrolet,two_seater,6.2,8,AS8,electricity,14.6,8.1,11.7,24,269
1305,chevrolet,two_seater,6.2,8,AS8,electricity,17.7,10.2,14.3,20,329
1306,chevrolet,two_seater,6.2,8,M7,electricity,15.7,10.6,13.4,21,308
1308,chevrolet,mid_size,1.4,4,M6,gasoline,9.0,6.2,7.8,36,179
1309,chevrolet,mid_size,1.8,4,AS6,gasoline,10.5,6.8,8.8,32,202
1310,chevrolet,mid_size,1.8,4,M6,gasoline,9.4,6.6,8.1,35,186
1312,chevrolet,mid_size,1.4,4,A6,gasoline,9.0,6.1,7.7,37,177
1316,chevrolet,suv_small,2.4,4,A6,ethanol,15.6,10.8,13.4,21,214
1317,chevrolet,suv_small,3.6,6,A6,gasoline,14.2,9.5,12.1,23,278
1320,chevrolet,suv_small,2.4,4,A6,ethanol,16.3,11.6,14.2,20,227
1322,chevrolet,van_passenger,4.8,8,A6,gasoline,21.0,14.2,18.0,16,414
1323,chevrolet,van_passenger,6.0,8,A6,gasoline,22.0,14.9,18.8,15,432
1325,chevrolet,van_passenger,6.0,8,A6,ethanol,30.3,20.5,25.9,11,414
1326,chevrolet,van_passenger,4.8,8,A6,gasoline,21.3,14.3,18.1,16,416
1327,chevrolet,van_passenger,6.0,8,A6,gasoline,22.2,15.1,19.0,15,437
1329,chevrolet,van_passenger,6.0,8,A6,ethanol,30.6,20.6,26.1,11,418
1330,chevrolet,full_size,2.5,4,AS6,gasoline,10.6,7.5,9.2,31,212
1331,chevrolet,full_size,3.6,6,AS6,gasoline,12.5,8.2,10.6,27,244
1332,chevrolet,full_size,3.6,6,AS6,ethanol,17.0,11.5,14.5,19,232
1333,chevrolet,mid_size,2.0,4,AS6,electricity,11.4,7.9,9.8,29,225
1335,chevrolet,pickuptruck_standard,4.3,6,A6,gasoline,13.4,9.9,11.9,24,274
1336,chevrolet,pickuptruck_standard,4.3,6,A6,ethanol,19.3,14.3,17.1,17,274
1338,chevrolet,pickuptruck_standard,5.3,8,A6,ethanol,19.9,13.8,17.2,16,275
1339,chevrolet,pickuptruck_standard,6.2,8,A8,electricity,16.1,11.4,14.0,20,322
1340,chevrolet,pickuptruck_standard,4.3,6,A6,gasoline,14.1,10.6,12.5,23,288
1341,chevrolet,pickuptruck_standard,4.3,6,A6,ethanol,20.3,15.2,18.0,16,288
1342,chevrolet,pickuptruck_standard,5.3,8,A6,gasoline,14.9,10.7,13.0,22,299
1343,chevrolet,pickuptruck_standard,5.3,8,A6,ethanol,20.2,14.3,17.5,16,280
1344,chevrolet,pickuptruck_standard,6.2,8,A8,electricity,16.3,11.6,14.2,20,327
1345,chevrolet,compact,1.4,4,AS6,gasoline,9.0,6.8,8.0,35,184
1347,chevrolet,compact,1.8,4,AS6,gasoline,9.6,6.7,8.3,34,191
1348,chevrolet,compact,1.8,4,M5,gasoline,9.0,6.8,8.0,35,184
1350,chevrolet,compact,1.4,4,M6,gasoline,8.9,6.9,8.0,35,184
1351,chevrolet,mid_size,1.4,4,AS6,gasoline,9.0,6.8,8.0,35,184
1352,chevrolet,mid_size,1.4,4,M6,gasoline,8.5,6.2,7.5,38,173
1353,chevrolet,mid_size,1.8,4,AS6,gasoline,9.6,6.7,8.3,34,191
1354,chevrolet,mid_size,1.8,4,M5,gasoline,9.0,6.8,8.0,35,184
